matricola,2018-06-18,bonus-esercizi,bonus-correzioni,totale=voto-2018-06-18
VR390674,26,2,-,28
VR397201,28,1,-,29
VR397220,18-,0,-,18
VR397230,30L,1,-,30L
VR397288,26,1,-,27
VR397297,18-,1,-,18
VR397804,27,1,1,29	
VR397955,30L,1,-,30L
VR398723,23,1,-,24
VR398955,30,1,-,30
VR399584,23,1,-,24
VR399660,23,1,-,24
VR399806,23,1,1,25	
VR400154,30,1,-,30
VR400373,19,1,-,20
VR401715,23,0,-,23
VR401954,25,0,-,25
VR402285,18-,1,1,18
VR402344,23,0,-,23
VR404538,30,2,-,30
VR407226,24,0,-,24
VR417110,23,0,-,23
